quantile,x
0.5182,2.9029296524345030668367172366099886177886965320062404493849517920815674452747310462556419004329043741714950299711759069999710250585141720611729e-2
0.5183,2.9193448181301425185648607101390297596461297271190105194273062784826317519238144642024892015620095973432247782184078174764912722944243029815027e-2
0.5184,2.9357672090871570791576758916739585071705062529479544742172132765753354354365775518065162769552116811871733776964816946857089554944776057490104e-2
0.5185,2.9521968557137613102679201766381477154509762787926695968537283894152642826842906550396536678921129468906600618951422604564567122747440592599887e-2
0.5186,2.9686337883342764661758064105248064661996197848133529486546709469260572536546030689738805622401681949516308128715931950209092633112836763090817e-2
0.5187,2.9850780371896095496723625551328375482129489286722516045411212129528163220411579481340434878566847005404924471217019054608198854982678483244967e-2
0.5188,3.0015296324377322755890298490064533139828249206141171198920009998709273024106982558106570962390866121335635566667947477892767382234231564253083e-2
0.5189,3.0179886041541598790773517847934810840076494514896911989218376330459406088090103057057893013079940410116756985284702336796052115577251728809004e-2
0.519,3.0344549823324297074435893434507341433214467092838685145508305373994730064519392899013119936760840425604405670449967949943219546564118388064957e-2
0.5191,3.0509287968845795360108640311347976415803517056181200260748879016891421753151264262881149528461360386327346191146790739151158107866589361289678e-2
0.5192,3.0674100776416255501164193972850224760181741350819545658108685047437850826185708925880038756847526192092576477337690583641930799622390646395917e-2
0.5193,3.0838988543540399369542464198138304625697211848059061353060173806390331197140801787035080817399088751606497300207284912255672512129964681118342e-2
0.5194,3.1003951566922280325440829629055249291842912926465866395000913340022254979750138213935480615264641306211407273743071086034110566559827433863662e-2
0.5195,3.1168990142470049706471184791784928260749759409983754963236586487395296906293757310772159556982723258178666314053710155465076179825765595663148e-2
0.5196,3.1334104565300717819570593069368590303270525662502861459464487245521806273685666516597122672237083250494520810447932808235270433998401090978943e-2
0.5197,3.1499295129744908933729849628492112547935051249877116948739303729524691305893068078183495371049976721676878647761731983893097588888654797413928e-2
0.5198,3.1664562129351609786080995854864887750444573695302413899969207767019753813603258567599086438818287981283086923122045202232434048115670253724960e-2
0.5199,3.1829905856892911128065027662358298323058991773340234067524189588947732704835471347300627632590206113694885038807908514765112714841047758838996e-2
0.52,3.1995326604368741852289174487979375026816676596271570647257053733442459720180091438785573859290531701946381927947849219606163658968396701446275e-2
0.5201,3.2160824663011595254283654946735419466942082498192550684298030909211390662690888288365788977339128182789591460117827013544494650029884272558938e-2
0.5202,3.2326400323291246996685187519142805253032083757998409804594475286354709366509559960931879027391752313778269507501239497682751834059199805082119e-2
0.5203,3.2492053874919464356413183182623233246915171379542815753293724512509143746657675624886985148864473322801160552123150113594585300896098032442329e-2
0.5204,3.2657785606854706348168885989962190306410896002363067503178052278403503202644593426964248646141771720153160407849431597270465273841545218231115e-2
0.5205,3.2823595807306814330082150478724125711691007670999401122120703297504612655862631926261175765738716495767798656064551798638251838582439684662021e-2
0.5206,3.2989484763741692709559421007117617213119664374332283645595244632108098485974297211565200299219128609547363991158268425308319464661780223222364e-2
0.5207,3.3155452762885979379354151154315964173517385759640441508922551686096750201823466365380791135126981719490447940692063357810286856104097914714988e-2
0.5208,3.3321500090731705525591686464515160417872563368398161895709546170171269137513357628243770332232605901044212961668382852115281468923176994825286e-2
0.5209,3.3487627032540944460938816051061577722371745418029989080122579843084162717035746036142677841969724327633716128728334394936615248853112973235701e-2
0.521,3.3653833872850449147318030741851052536413516817009768790310203247940515907734641729158669036697036870415138279642458219561531551968966136624369e-2
0.5211,3.3820120895476278083532226450709406402914108560969337929376344475891921668798747210845613340747685184368346418344492608156123938104884752843390e-2
0.5212,3.3986488383518409243891344666388964439708338944916524931666274924396128850832777130731363923345846764698067728467753491294653083581495770013831e-2
0.5213,3.4152936619365341764422393680342980347903065550100108930896210756980416729723716646244801552094422776955972476378661101308648956306404447584104e-2
0.5214,3.4319465884698685083502552319952991685108954425463622545161406611729524664552405529425902780193659849862542572985488757852198483858599270117198e-2
0.5215,3.4486076460497735253785690716379791152118313335312043507821872450120574918719161198732922019968061341354324590610484213738532850777374548892910e-2
0.5216,3.4652768627044038152099677365864621552534989641833898847150101902231039158338592519625409792875795428486340752545850088319960573698847453630793e-2
0.5217,3.4819542663925939323579263883934156785552665053580243593586472911840359484246483297073132387624295721128173388070957862568537597179433489531163e-2
0.5218,3.4986398850043120205671090983286263906800818709646304662677008286484873073722020728937112501980717288922379451417865199247719547386718704745604e-2
0.5219,3.5153337463611120486807340179051405661038822551745901186799008256859132737295696276451416172792399759239269805363143182537288850105354555191199e-2
0.522,3.5320358782165846363496619885283585253749773262996816549100999655542718562531282807083969820413160546548085817937848342681147674112934007705312e-2
0.5221,3.5487463082568064468328631061756346442584110114105177658675705067904312463483194607376813251353075133100610035465163665372820755279347733439989e-2
0.5222,3.5654650641007881249936769737408557269151023854932929918436106290169791680081375986445824914026844034820653586755408112260190815943556703930412e-2
0.5223,3.5821921733009207594313808564692110385909653616642761868259678655721815972570919457664329345300130063399587962868638905623717457669665170356361e-2
0.5224,3.5989276633434208485033827221770037472338806895887924847239420461275234199892719765683761668937305153524500204099135165193805137293477598010934e-2
0.5225,3.6156715616487737507902254938401099501700020997879393536906336998343333223765429134453746676190813971232015482279278681974124064575075105776384e-2
0.5226,3.6324238955721756013338823090889542206562915889004098304754375524368853060693047915187630754399134796834262660831962910107508556582573937483159e-2
0.5227,3.6491846924039736757398929285665784178823500922983491377940187097355125234604482271312770324603778537136219850463719088343411804045140281469272e-2
0.5228,3.6659539793701051849760866187209932039128033022726017094232850764327386012427507467550528159159917478910991284279413280985998228392155321383075e-2
0.5229,3.6827317836325344844252999902734355719659572756011978660499966921106618625634275428894878142022117484834364914241030563118062780053954975777948e-2
0.523,3.6995181322896886814569677062267386796790389384862538695055387150046296859267577385429214823157520761583358780682328326460564010571587838378624e-2
0.5231,3.7163130523768916264730731505146837028374915085718322208991850501781582699491158859400002268850718478540498326195916763848730697025413787737188e-2
0.5232,3.7331165708667962730580236989438016163647586982612215549014112087945942219855533797996812616196480282840414548029867119637299161708156417565881e-2
0.5233,3.7499287146698153935198849502309448928784744932298739122262661488775398320123389137584216320569172873850239261595331477695958152042639966582285e-2
0.5234,3.7667495106345506367523891191404406588540263862521088965191704408834315956510621185694892420338772423378994776394703657035535781627442145595430e-2
0.5235,3.7835789855482199159735389089340189678626506266549371698745700012960258683187736508706915285344010952828235576599561648545629130376767088692802e-2
0.5236,3.8004171661370831145077689039391025844898321670446823211113507967695948998198678527074656663099526558748921247987035967903717068160379861453434e-2
